date,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,20-Day SMA,100-Day SMA,Volatility,Lag Gap
5/7/2014,AMZN,5/7/2014,295.56,296.4,286.68,292.71,7015200,0,1,295.56,296.4,286.68,292.71,7015200,304.61825,326.28331,9.72,7.24
5/6/2014,AMZN,5/6/2014,309.53,309.81,297.04,297.38,4682300,0,1,309.53,309.81,297.04,297.38,4682300,303.07525,325.99221,12.77,16.82
5/5/2014,AMZN,5/5/2014,306.37,310.23,305,310.05,2519900,0,1,306.37,310.23,305,310.05,2519900,302.60525,325.73391,5.23,8.99
5/2/2014,AMZN,5/2/2014,310.42,313.29,304.31,308.01,3995100,0,1,310.42,313.29,304.31,308.01,3995100,302.74825,325.61511,8.98,0.37
5/1/2014,AMZN,5/1/2014,304.13,310.48,304,307.89,4328600,0,1,304.13,310.48,304,307.89,4328600,302.70675,325.41311,6.48,-3.88
4/30/2014,AMZN,4/30/2014,298.1,304.56,298.1,304.13,4088600,0,1,298.1,304.56,298.1,304.13,4088600,302.47375,325.25571,6.46,-9.79
4/29/2014,AMZN,4/29/2014,296.44,301.84,290.45,300.38,6509300,0,1,296.44,301.84,290.45,300.38,6509300,301.99125,325.05201,11.39,-7.69
4/28/2014,AMZN,4/28/2014,304,304.39,288,296.58,14479800,0,1,304,304.39,288,296.58,14479800,301.50225,324.74261,16.39,3.62
4/25/2014,AMZN,4/25/2014,316.25,316.49,302.71,303.83,16180200,0,1,316.25,316.49,302.71,303.83,16180200,300.79025,324.45841,13.78,19.67
4/24/2014,AMZN,4/24/2014,329.67,337.4,322.95,337.15,9293700,0,1,329.67,337.4,322.95,337.15,9293700,300.36975,324.25671,14.45,25.84
4/23/2014,AMZN,4/23/2014,333.06,333.13,323.39,324.58,3604600,0,1,333.06,333.13,323.39,324.58,3604600,301.98175,324.35061,9.74,-4.09
4/22/2014,AMZN,4/22/2014,332,337.5,328.94,329.32,3711600,0,1,332,337.5,328.94,329.32,3711600,302.96025,324.35751,8.56,7.42
4/21/2014,AMZN,4/21/2014,323.97,331.1499,322.31,330.87,2999400,0,1,323.97,331.1499,322.31,330.87,2999400,304.36675,324.33881,8.8399,-5.35
4/17/2014,AMZN,4/17/2014,319.76,328.66,319.76,324.91,4299200,0,1,319.76,328.66,319.76,324.91,4299200,306.0725,324.34231,8.9,-11.11
4/16/2014,AMZN,4/16/2014,321.17,324,314.71,323.68,4284900,0,1,321.17,324,314.71,323.68,4284900,307.433,324.27811,9.29,-3.74
4/15/2014,AMZN,4/15/2014,316.7,318.28,305.5,316.08,5398600,0,1,316.7,318.28,305.5,316.08,5398600,308.8575,324.21741,12.78,-6.98
4/14/2014,AMZN,4/14/2014,317.67,320.48,311.28,315.91,4293500,0,1,317.67,320.48,311.28,315.91,4293500,309.7805,323.95481,9.2,1.59
4/11/2014,AMZN,4/11/2014,314,316.5,309.5,311.73,7287500,0,1,314,316.5,309.5,311.73,7287500,310.344,323.65011,7,-1.91
