,Date,CCI
1218,2011-05-03,101.302
1219,2011-05-04,101.7659
1220,2011-05-05,101.9378
1221,2011-05-06,101.8598
1222,2011-05-07,101.7568
1223,2011-05-08,101.7915
1224,2011-05-09,101.735
1225,2011-05-10,101.5803
1226,2011-05-11,101.2749
1227,2011-05-12,100.8751
1228,2011-05-13,100.744
1229,2011-05-14,101.0876
1230,2011-05-15,101.4389
1231,2011-05-16,101.5012
1232,2011-05-17,101.444
1233,2011-05-18,101.1933
1234,2011-05-19,100.9206
1235,2011-05-20,100.6462
1236,2011-05-21,100.5114
1237,2011-05-22,100.4063
1238,2011-05-23,100.3198
1239,2011-05-24,100.1213
1240,2011-05-25,99.75488
1241,2011-05-26,99.33021
1242,2011-05-27,99.16497
1243,2011-05-28,99.34647
1244,2011-05-29,99.57314000000001
1245,2011-05-30,99.72837
1246,2011-05-31,99.65381
1247,2011-06-01,99.64153
1248,2011-06-02,99.64537
1249,2011-06-03,99.50909
1250,2011-06-04,99.39404
1251,2011-06-05,99.37601
1252,2011-06-06,99.45235
1253,2011-06-07,99.55998000000001
1254,2011-06-08,99.60698000000001
1255,2011-06-09,99.68864
1256,2011-06-10,99.82467
1257,2011-06-11,99.98546999999999
1258,2011-06-12,100.0639
1259,2011-06-13,100.2542
1260,2011-06-14,100.5416
1261,2011-06-15,100.6202
1262,2011-06-16,100.3606
1263,2011-06-17,100.0554
1264,2011-06-18,100.0313
1265,2011-06-19,100.1986
1266,2011-06-20,100.5074
1267,2011-06-21,100.7799
1268,2011-06-22,100.8338
1269,2011-06-23,100.7485
1270,2011-06-24,100.4879
1271,2011-06-25,100.2019
1272,2011-06-26,99.94651
1273,2011-06-27,99.75514
1274,2011-06-28,99.56958
1275,2011-06-29,99.32372
1276,2011-06-30,99.23692
1277,2011-07-01,99.30471
1278,2011-07-02,99.38545
1279,2011-07-03,99.3484
1280,2011-07-04,99.31667
1281,2011-07-05,99.27266999999999
1282,2011-07-06,99.19779
1283,2011-07-07,99.3321
1284,2011-07-08,99.60191
1285,2011-07-09,99.70121
1286,2011-07-10,99.68513
1287,2011-07-11,99.65475
1288,2011-07-12,99.44954
1289,2011-07-13,99.32507
1290,2011-07-14,99.40302
1291,2011-07-15,99.47185999999999
1292,2011-07-16,99.66427
1293,2011-07-17,99.84877
1294,2011-07-18,99.86891
1295,2011-07-19,99.79037
1296,2011-07-20,99.77287
1297,2011-07-21,99.71723
1298,2011-07-22,99.71434
1299,2011-07-23,99.88508
1300,2011-07-24,99.95158
1301,2011-07-25,99.92968
1302,2011-07-26,99.95455
1303,2011-07-27,99.97887
1304,2011-07-28,99.96375
1305,2011-07-29,99.85448000000001
1306,2011-07-30,99.70340999999999
1307,2011-07-31,99.67149
1308,2011-08-01,99.7476
1309,2011-08-02,99.78055
1310,2011-08-03,99.72662
1311,2011-08-04,99.61668
1312,2011-08-05,99.50215
1313,2011-08-06,99.45708
